e, e_dot, e_int, stamp, 
-0.7689946110129354, 2.640929479460006e-07, -0.05229163417886582, 61014000000, 
-0.7689946042715645, 1.321837432539097e-07, -0.05229163370136665, 61048000000, 
-0.7710377114047543, -0.02003046209009589, -0.1046758873432462, 61116000000, 
-0.7778609700544582, -0.044596461762770594, -0.1576167434296928, 61218000000, 
-0.7399028232035507, 0.2480924630778267, -0.15563850231706788, 61320000000, 
-0.6735421605238546, 0.4337298214359222, -0.1490088048571667, 61422000000, 
-0.6063568103171892, 0.439119935991277, -0.13734652199503242, 61524000000, 
-0.5379140919479686, 0.4473380285569979, -0.12361128826965283, 61626000000, 
-0.47195866881097154, 0.43108119697383684, -0.10990361083317679, 61728000000, 
-0.4295461924795464, 0.4158085914845602, -0.06525365921347807, 61796000000, 
-0.373569797842927, 0.3658587884746367, -0.08670507682107423, 61898000000, 
-0.32362879282376233, 0.3264117975108801, -0.07661864525394403, 62000000000, 
-0.27975424277213035, 0.28676176504334633, -0.06643279267383972, 62102000000, 
-0.24129430348595948, 0.25137215219719516, -0.05743805905756594, 62204000000, 
-0.20909276343136818, 0.21046758205615235, -0.04964960905888314, 62306000000, 
-0.18048487109029965, 0.1869796885037159, -0.04289929178451865, 62408000000, 
-0.155753547422115, 0.16164263835414802, -0.03708252037217723, 62510000000, 
-0.13460347086137237, 0.13823579451465776, -0.03201724847741751, 62612000000, 
-0.1164084437380557, 0.1189217459040305, -0.027660051417464925, 62714000000, 
-0.10077838074060996, 0.1021572744931094, -0.023921740083122582, 62816000000, 
-0.08735548534240378, 0.08773134247193583, -0.02070887706783272, 62918000000, 
-0.07582711766711181, 0.07534880833524166, -0.017949346895008534, 63020000000, 
-0.06595920657181498, 0.06449615094965251, -0.015581643051530477, 63122000000, 
-0.059959688774995246, 0.0588188019296052, -0.009145819256631132, 63190000000, 
-0.052263005471930524, 0.050305119627874005, -0.012116369255674369, 63292000000, 
-0.04563832594477113, 0.04329855900104179, -0.010734549373035389, 63394000000, 
-0.03996410809509121, 0.03708639117437856, -0.009374849886801914, 63496000000, 
-0.18481696728287234, -0.9467507136456282, -0.018388519289945955, 63598000000, 
-0.1851851757088382, -0.002406591019384671, -0.027877705073902515, 63700000000, 
-0.1863037613823152, -0.0073110174737058935, -0.03782880149743374, 63802000000, 
-0.18822067364401573, -0.012528838311768256, -0.0380602535299915, 63904000000, 
-0.13818677402950807, 0.32701895172880824, -0.03486436221579705, 64006000000, 
-0.13348826968019367, 0.03070917875368891, -0.03127290878005278, 64108000000, 
-0.11838965704661719, 0.09868374270311425, -0.026524399651429685, 64210000000, 
-0.10134574963349796, 0.11139808766744595, -0.024019209992500998, 64312000000, 
-0.08968445112407664, 0.07621763731647925, -0.02104055033068504, 64414000000, 
-0.07957016830181418, 0.06610642367491801, -0.018400825096038433, 64516000000, 
-0.07361121896344058, 0.05842107194483919, -0.011009918006983024, 64584000000, 
-0.06541472524317649, 0.0535718543808111, -0.014864535650573323, 64686000000, 
-0.229417984081435, -1.071916724433062, -0.025054187123587538, 64788000000, 
-0.22990002088502837, -0.0031505673437475655, -0.035681825654255504, 64890000000, 
-0.23165634658146783, -0.011479252917904999, -0.046986255905259317, 64992000000, 
-0.23485812793073402, -0.02092667548539991, -0.04735618568701165, 65094000000, 
-0.2162938555300209, 0.12133511373015114, -0.04643096644287114, 65196000000, 
-0.2042970326242406, 0.07841060722732224, -0.04457053309377969, 65298000000, 
-0.18990215085802276, 0.09408419455044338, -0.04151352665283532, 65400000000, 
-0.17467014480323706, 0.09955559512931828, -0.03868311432341402, 65502000000, 
-0.16113282256645234, 0.08847923030578249, -0.035747948039484424, 65604000000, 
-0.2975796216057085, -0.891809144047426, -0.04307001605032705, 65706000000, 
-0.29129917885824863, 0.04104864540823444, -0.05100079036606784, 65808000000, 
-0.2879462682139773, 0.0328716729830524, -0.039749403113399695, 65876000000, 
-0.2848516101396097, 0.02022652336187971, -0.058758599890404814, 65978000000, 
-0.2750668687184106, 0.06395255830849096, -0.05765480280089583, 66080000000, 
-0.25084148917289584, 0.15833581402297214, -0.05513167782610229, 66182000000, 
-0.23228650631367964, 0.12127439777265488, -0.05155725076593905, 66284000000, 
-0.21624299194596652, 0.10485957103080469, -0.04755722714541285, 66386000000, 
-0.2936119569371718, -0.5056795097464397, -0.05046561895338361, 66488000000, 
-0.2816199414623266, 0.07837918611009927, -0.053820292543491605, 66590000000, 
-0.2716339505339629, 0.06526791456446876, -0.05758687772747536, 66692000000, 
-0.26356475996896633, 0.052739807614356565, -0.055543668333637386, 66794000000, 
-0.24882490418243997, 0.09633892670932266, -0.0533136057986051, 66896000000, 
-0.23391928574327525, 0.09742234273963866, -0.05074900859283834, 66998000000, 
-0.25728891251349983, -0.15274265862891886, -0.050322250965866615, 67100000000, 
-0.24134584914891, 0.10420302852673097, -0.04981367522358658, 67202000000, 
-0.22648477481893203, 0.09713120477109781, -0.04930812848073124, 67304000000, 
-0.2169740944101839, 0.09324196479164842, -0.031044480566470512, 67372000000, 
-0.20302220008115346, 0.09118885182372834, -0.043960712713098316, 67474000000, 
