x, y, theta, stamp, 
-1.9999389085189938, -0.5000009992127543, 2.120863484911093e-06, 60946000000, 
-1.9999389113352077, -0.5000009992281145, 2.12167261284164e-06, 60980000000, 
-1.9999389353012609, -0.5000009991883255, 2.1222708003984023e-06, 61014000000, 
-1.9999389479066627, -0.5000009992305281, 2.1229665544099087e-06, 61048000000, 
-1.9964741948389924, -0.5000010051845852, 3.7997528406394405e-06, 61116000000, 
-1.9828042152189924, -0.5000033799710545, -0.0013102515417048014, 61218000000, 
-1.9625294158093542, -0.5004236834161437, -0.05133576521811387, 61320000000, 
-1.940048947016532, -0.5024846880454985, -0.1304657604303188, 61422000000, 
-1.9177957434208774, -0.5063003937217864, -0.20958993066909043, 61524000000, 
-1.8959090647840569, -0.5118610336284906, -0.28904567137664355, 61626000000, 
-1.8745308197928625, -0.5191271746799587, -0.36499519290757215, 61728000000, 
-1.8606042684085755, -0.5248367014704974, -0.4135092055380508, 61796000000, 
-1.8402372590800744, -0.5345478684756649, -0.4778367632073647, 61898000000, 
-1.820507942100233, -0.5454772730734369, -0.5352207766194895, 62000000000, 
-1.8014046905992078, -0.5574490572796066, -0.5857052570910416, 62102000000, 
-1.782895848108993, -0.5703043928243658, -0.6300231342358913, 62204000000, 
-1.7649553633816981, -0.5839097750622915, -0.6673941184699514, 62306000000, 
-1.7475252806718433, -0.5981329595531513, -0.7005750978840304, 62408000000, 
-1.7305506528111538, -0.6128788717624826, -0.729354169538861, 62510000000, 
-1.713978556539632, -0.6280686503355957, -0.7540905135912996, 62612000000, 
-1.6977629153435965, -0.6436351459985759, -0.7754654810926257, 62714000000, 
-1.6818627278697595, -0.6595213947466086, -0.7939174400359917, 62816000000, 
-1.6662380855481222, -0.6756775083022578, -0.8098509582527395, 62918000000, 
-1.6508545454420196, -0.6920627194690191, -0.8236180396631293, 63020000000, 
-1.6356844084523696, -0.7086399611645773, -0.835486770071017, 63122000000, 
-1.6256785872606903, -0.7197809778169072, -0.8427028225481498, 63190000000, 
-1.610815501624733, -0.7366095756401576, -0.8520650909178292, 63292000000, 
-1.596103275677555, -0.7535649106694728, -0.86018626907816, 63394000000, 
-1.581518774639855, -0.7706330690874065, -0.8672099474480138, 63496000000, 
-1.5670453240757802, -0.7877990919150983, -0.873377577156919, 63598000000, 
-1.5526706726714246, -0.8050512119569483, -0.8786073105544966, 63700000000, 
-1.5383829740572064, -0.8223737599880604, -0.8832810536452868, 63802000000, 
-1.5241753519386474, -0.8397533913869545, -0.8873879807866911, 63904000000, 
-1.5104149692868585, -0.8571738452387792, -0.9432209831353272, 64006000000, 
-1.4973082243157427, -0.8754119496977955, -0.9526129234426514, 64108000000, 
-1.4845225536100908, -0.8939000336223902, -0.9720941069045295, 64210000000, 
-1.4720743170662565, -0.9126219674226073, -0.9931640440160672, 64312000000, 
-1.4599713605429594, -0.9315557256325584, -1.0084592569352204, 64414000000, 
-1.4481119446526212, -0.9506340777498714, -1.0219886808503655, 64516000000, 
-1.4403517820167062, -0.9634394582047489, -1.0300661123285555, 64584000000, 
-1.4289001061830044, -0.9827587574701335, -1.0412451187514589, 64686000000, 
-1.4176445491040146, -1.0021931979577452, -1.0506544196838787, 64788000000, 
-1.4065635376246066, -1.0217279805130164, -1.0590830308327608, 64890000000, 
-1.3956401407913468, -1.0413482989802707, -1.0666337151490803, 64992000000, 
-1.3848606525756615, -1.0610429915237392, -1.0732168270567757, 65094000000, 
-1.37429798160373, -1.0808963395615327, -1.1019225647587796, 65196000000, 
-1.3643581593055247, -1.1010629411058972, -1.1235635895849203, 65298000000, 
-1.3548902612622507, -1.121458607563565, -1.1474076263123294, 65400000000, 
-1.3459051131303528, -1.1420729042239501, -1.1718502108290814, 65502000000, 
-1.3374116345656588, -1.1628894909044616, -1.1943133613939747, 65604000000, 
-1.329364828731464, -1.1838779446426708, -1.2152624129902738, 65706000000, 
-1.3217462110932297, -1.2050225577693452, -1.2346875289750516, 65808000000, 
-1.3168893760134082, -1.2191964116942238, -1.246991927941217, 65876000000, 
-1.3099152505985387, -1.2405595455855454, -1.2638869726756081, 65978000000, 
-1.3033022026490406, -1.2620578057518863, -1.288013142289529, 66080000000, 
-1.2975740965039333, -1.2838241570128703, -1.3259273115973236, 66182000000, 
-1.2924911292757477, -1.3057398822248307, -1.3580484476478898, 66284000000, 
-1.288051565946193, -1.3277918176878623, -1.3875291299905377, 66386000000, 
-1.284252590949464, -1.3499612466811217, -1.4154333535516492, 66488000000, 
-1.2810624037766758, -1.3722227702948744, -1.4410970609854568, 66590000000, 
-1.2784202051748357, -1.3945523701467053, -1.464891191931079, 66692000000, 
-1.2762902666685474, -1.4169331471832765, -1.4870141914937314, 66794000000, 
-1.2746813426448078, -1.4393692489159524, -1.5160834408264783, 66896000000, 
-1.2737918836876458, -1.4618472026570337, -1.5451197874922995, 66998000000, 
-1.2735365267774854, -1.4840605580937114, -1.573219588110179, 67100000000, 
-1.2738782571551273, -1.5057684519331263, -1.6002875978108226, 67202000000, 
-1.274770347968311, -1.5269086945368986, -1.6257875076157504, 67304000000, 
-1.2756375098907897, -1.5406784469511463, -1.6421386941002156, 67372000000, 
-1.2773077011529221, -1.5608457879327498, -1.6659883703480962, 67474000000, 
-1.2794494916334846, -1.580432966316303, -1.6928715549082536, 67576000000, 
-1.2820035759441206, -1.599441114103271, -1.7165929881277775, 67678000000, 
-1.2849202666628536, -1.6179191086550608, -1.738793176435522, 67780000000, 
-1.2881384151683315, -1.6357837137207336, -1.7593331857704575, 67882000000, 
-1.2916200421896078, -1.6531181445619139, -1.7783646233649442, 67984000000, 
-1.295313570946872, -1.6699207469147472, -1.7958625541029907, 68086000000, 
-1.2991800278358026, -1.6862059142030439, -1.8118861661441472, 68188000000, 
-1.3031858433970562, -1.7019915553796359, -1.8267235692506913, 68290000000, 
-1.3073017652343633, -1.7172917361044118, -1.8401716160399757, 68392000000, 
-1.3114951533812529, -1.7321232940875086, -1.8522954799454165, 68494000000, 
-1.3157402264850124, -1.7465029408118338, -1.8631956432462908, 68596000000, 
-1.3200141444108129, -1.7604475711006973, -1.8729582924334696, 68698000000, 
-1.3242971127877283, -1.7739735059439212, -1.8816916799526298, 68800000000, 
-1.3285721775629136, -1.7870959549969698, -1.8894995529120004, 68902000000, 
-1.3314105999210972, -1.795627600339429, -1.894341429328932, 68970000000, 
-1.3356412797311419, -1.8081092083761594, -1.9005399097928188, 69072000000, 
-1.3398161986145607, -1.8202277626450458, -1.9047324930565206, 69174000000, 
-1.3439270397122207, -1.8319994647858358, -1.9085993134251342, 69276000000, 
-1.3479753561010392, -1.8434598922645729, -1.9118950859593904, 69378000000, 
-1.3519349604055033, -1.854562053917181, -1.9145172326721884, 69480000000, 
-1.3558169940615514, -1.8653625882467957, -1.9168483508715841, 69582000000, 
-1.3596160706189588, -1.875860820875864, -1.9188562017396147, 69684000000, 
-1.363330190427828, -1.8860654011371036, -1.9205707942781916, 69786000000, 
-1.3669591453603518, -1.8959870262746061, -1.922054414729331, 69888000000, 
-1.3705030321543434, -1.9056342943425515, -1.9233385600424968, 69990000000, 
-1.3739614796582678, -1.9150149930686395, -1.9244515050985562, 70092000000, 
-1.377335194729493, -1.9241369736802936, -1.9254178514015476, 70194000000, 
-1.38062506668386, -1.9330080260356872, -1.926257231911073, 70296000000, 
-1.3838321528137092, -1.9416353008858487, -1.9269866837536973, 70398000000, 
-1.386957701221424, -1.9500259396194255, -1.9276209613839208, 70500000000, 
-1.3889968140932416, -1.9554918559141832, -1.9280071663178324, 70568000000, 
-1.3919894461141917, -1.9635030910581723, -1.9285086243274594, 70670000000, 
-1.3949042822899607, -1.9712950503029212, -1.9289449028730503, 70772000000, 
-1.3977688358229496, -1.9789432334648316, -1.9293337550821643, 70874000000, 
-1.4005194539593624, -1.9862792412413006, -1.9296531474414091, 70976000000, 
-1.4032080967012974, -1.9934434535521295, -1.9299444048369923, 71078000000, 
-1.4058279445725768, -2.000418781299067, -1.9301976233559666, 71180000000, 
-1.4083771013063258, -2.0072012121100458, -1.9304151511420686, 71282000000, 
-1.4108588766571406, -2.013800430309831, -1.9306044611900306, 71384000000, 
-1.4132746597157049, -2.020220802284708, -1.9307690977794618, 71486000000, 
-1.4156255770439614, -2.0264658643523044, -1.9309122599345026, 71588000000, 
-1.4179134245018332, -2.032541030953423, -1.9310368985314323, 71690000000, 
-1.4201397814423968, -2.03845081489592, -1.9311454081623074, 71792000000, 
-1.422306209643405, -2.0441997438719324, -1.9312399092772354, 71894000000, 
-1.4237180156194817, -2.0479453526294717, -1.9312975078433898, 71962000000, 
-1.4257879978804695, -2.053435983788154, -1.9313724328013837, 72064000000, 
-1.4278021131634373, -2.058777350389453, -1.9314377539055179, 72166000000, 
-1.429761826158864, -2.063973385344245, -1.931494702285578, 72268000000, 
-1.4316725844099238, -2.069038847550224, -1.931544702936729, 72370000000, 
-1.4335259885354648, -2.073951517198583, -1.9315871326064846, 72472000000, 
-1.4353309018033111, -2.078735031781904, -1.9316250668708854, 72574000000, 
-1.4370870112717746, -2.0833886518329403, -1.9316582635334145, 72676000000, 
-1.438795424010347, -2.087915371387902, -1.9316870774354389, 72778000000, 
-1.4404575851735517, -2.0923192699837765, -1.9317122507324256, 72880000000, 
-1.4420747147186275, -2.0966035090236477, -1.9317342289623871, 72982000000, 
-1.4436480319995135, -2.1007713289477477, -1.9317534211608873, 73084000000, 
-1.4451786455374647, -2.104825850296588, -1.9317701415357318, 73186000000, 
-1.4466677732146, -2.108770204990641, -1.9317846929138662, 73288000000, 
-1.4481164544905567, -2.1126073323201044, -1.9317974139733776, 73390000000, 
-1.4495258778069777, -2.116340250520061, -1.9318083824477468, 73492000000, 
-1.4504441854601193, -2.1187724037814224, -1.9318149621434344, 73560000000, 
-1.451790423553715, -2.122337755137276, -1.931823739239418, 73662000000, 
-1.453100063763425, -2.125806234780927, -1.9318313742113669, 73764000000, 
-1.454374202028868, -2.129180497171139, -1.9318379246121486, 73866000000, 
-1.4556076031858867, -2.1324468840401862, -1.9318434438538727, 73968000000, 
-1.4568123299239193, -2.135637243397301, -1.9318484002546867, 74070000000, 
-1.4579854480021637, -2.138743820784438, -1.9318527020051128, 74172000000, 
-1.4591266864657537, -2.1417659842017285, -1.9318564466226371, 74274000000, 
-1.4602371758654296, -2.1447067316752157, -1.9318596747943177, 74376000000, 
-1.4613175406999614, -2.1475676325796864, -1.9318624409429326, 74478000000, 
-1.4623685042594654, -2.150350639374107, -1.9318648189363408, 74580000000, 
-1.4633908816182788, -2.153058015074045, -1.931866847706678, 74682000000, 
-1.464385510312578, -2.155691844394619, -1.9318685693067554, 74784000000, 
-1.465353110821541, -2.1582540769653464, -1.931870051908977, 74886000000, 
-1.4662944261917519, -2.160746701930291, -1.9318713260428517, 74988000000, 
