e, e_dot, e_int, stamp, 
-1.1071937223899544, -1.4066243886443663e-05, -0.07528913013620088, 4844000000, 
-1.1071945809103516, -1.6833733278780154e-05, -0.07528917632173465, 4878000000, 
-1.1099737002506722, -0.02724626804235884, -0.15070441082764438, 4946000000, 
-1.1146670561673742, -0.030675528867332987, -0.22656480293833103, 5048000000, 
-1.0846234230345755, 0.2945454228705752, -0.15001997613518553, 5116000000, 
-0.9956218776627039, 0.5817094468749775, -0.21725404026679643, 5218000000, 
-0.9009479884899513, 0.6187835893643965, -0.20272114366473165, 5320000000, 
-0.8031850547794328, 0.6389734229445653, -0.18358333462338197, 5422000000, 
-0.7067820672529869, 0.6300848857937643, -0.1639422275155212, 5524000000, 
-0.6176437672532211, 0.5826032679723252, -0.14467754047142356, 5626000000, 
-0.5371165101077419, 0.5263219421273154, -0.12658487943374858, 5728000000, 
-0.4655716765369685, 0.46761329131224416, -0.11018257286505932, 5830000000, 
-0.4028301360411096, 0.41007542807750913, -0.09557524594263575, 5932000000, 
-0.3482045101629305, 0.3570302344979026, -0.08272922994638858, 6034000000, 
-0.30090054942117106, 0.30917621399842793, -0.07153159330251435, 6136000000, 
-0.2567169323251217, 0.28878181108528983, -0.06159589544982717, 6238000000, 
-0.21904321448264863, 0.2462334499508045, -0.05281292734356801, 6340000000, 
-0.18759816824644004, 0.2055231780144352, -0.0451083654236863, 6442000000, 
-0.16910728573335287, 0.18128316189301144, -0.026100606303630685, 6510000000, 
-0.14559543824799936, 0.15367220578662424, -0.03415646067148987, 6612000000, 
-0.12578099233247864, 0.12950618245438386, -0.029952892709340494, 6714000000, 
-0.10890815839991164, 0.11027996034357516, -0.02585935205066649, 6816000000, 
-0.09519018581456473, 0.08965995153821506, -0.022431794885192938, 6918000000, 
-0.08279674595606634, 0.08100287489214635, -0.019508866131596903, 7020000000, 
-0.07198353744005015, 0.07067456546415812, -0.01699799190632632, 7122000000, 
-0.06266501445159833, 0.060905379009489, -0.014786280253644606, 7224000000, 
-0.05454414814329134, 0.05307755757063396, -0.012865103602375905, 7326000000, 
-0.04748401037469918, 0.046144691297987955, -0.01119913576193204, 7428000000, 
-0.04135159510936792, 0.04008114552504091, -0.009749823246660372, 7530000000, 
-0.03601474604710053, 0.034881366420048306, -0.008489823904119398, 7632000000, 
-0.0313673858007959, 0.030374903570618516, -0.007393893433093975, 7734000000, 
-0.027318649804473516, 0.02646232677334891, -0.006439653152361156, 7836000000, 
-0.024837859280516295, 0.024321475725070794, -0.0037864165681556193, 7904000000, 
-0.021630398235080506, 0.020963797682586854, -0.005017509697764781, 8006000000, 
-0.01883733727314474, 0.018255300404808935, -0.004440780445634424, 8108000000, 
-0.016404258696812057, 0.015902474355115565, -0.003867295605942536, 8210000000, 
-0.014267462932421981, 0.013965985388170432, -0.0033666160053617564, 8312000000, 
-0.01246591594412183, 0.011774816916994453, -0.0029333593549881985, 8414000000, 
-0.010850789824315532, 0.01055637986801502, -0.002555723471658435, 8516000000, 
-0.00943881568733329, 0.009228589130602885, -0.002227375458992404, 8618000000, 
-0.008216344599804692, 0.007990007108030054, -0.0019384046075788387, 8720000000, 
-0.007150798533882119, 0.0069643533720429645, -0.0016868051998293668, 8822000000, 
-0.006222274420160323, 0.006068785057005203, -0.001468080393661605, 8924000000, 
-0.0054135779961070885, 0.005285597542831599, -0.0012774922646101678, 9026000000, 
-0.00470925407212941, 0.004603424339723391, -0.0011114672412109838, 9128000000, 
-0.00409591056833003, 0.00400878107058418, -0.0009668744992865237, 9230000000, 
-0.0035620466041152987, 0.0034893069556518395, -0.0008409703646310821, 9332000000, 
-0.003235179495256313, 0.003204579498617508, -0.0004938221956024744, 9400000000, 
-0.0028127918574627486, 0.0027607035149906163, -0.0006534812210647364, 9502000000, 
-0.0024452218428165917, 0.0024024183963801105, -0.0005775371372964244, 9604000000, 
-0.0021254909159000857, 0.0020897446203693207, -0.0005020783139002008, 9706000000, 
-0.0018451352874628846, 0.0018323897283477194, -0.00043627766714021015, 9808000000, 
-0.0016093916147659204, 0.0015408083182808117, -0.00037944121163276454, 9910000000, 
-0.00139836664213, 0.0013792481871628783, -0.0003299967610163987, 10012000000, 
-0.001214439930707023, 0.0012021353687776276, -0.0002871094767570001, 10114000000, 
-0.0010555883964460389, 0.0010382453219672171, -0.0002494508579112482, 10216000000, 
-0.0009174668108635764, 0.0009027554613232841, -0.00021674966938513138, 10318000000, 
-0.0007975788615244284, 0.0007835813682297257, -0.00018840311668071494, 10420000000, 
-0.0006935073548290926, 0.0006802059261133054, -0.0001637816058507626, 10522000000, 
-0.0006032094778660735, 0.0005901822023726744, -0.0001424121072069324, 10624000000, 
-0.0005248508355535364, 0.0005121479889708306, -0.00012386660144091176, 10726000000, 
-0.0004568564690201615, 0.000444407624401143, -0.00010777434120590445, 10828000000, 
-0.00041536524527074903, 0.0004067767034256127, -6.333395559294826e-05, 10896000000, 
-0.00036183376096521336, 0.000349878982389122, -8.391577231741641e-05, 10998000000, 
-0.0003154036086487899, 0.0003034650478197611, -7.429697781216314e-05, 11100000000, 
-0.000275162398244877, 0.00026301444708439826, -6.476318421440385e-05, 11202000000, 
-0.00023997644394224693, 0.00022997355753352975, -5.647688665684213e-05, 11304000000, 
-0.00021026117551503631, 0.00019421744070072299, -4.932720120374689e-05, 11406000000, 
-0.00018387149007281778, 0.00017248160419750677, -4.3119419448046864e-05, 11508000000, 
-0.00016073402871952247, 0.0001512252376032373, -3.77309352129016e-05, 11610000000, 
-0.00014065842648092186, 0.00013121308652680138, -3.299794827858182e-05, 11712000000, 
-0.00012329307268688083, 0.00011349904440549693, -2.8878615896338108e-05, 11814000000, 
-0.00010807135537449497, 9.948834844696644e-05, -2.5297554108876237e-05, 11916000000, 
-9.481468364125334e-05, 8.6644913289161e-05, -2.2180179595778778e-05, 12018000000, 
-8.320464110567194e-05, 7.588263095151242e-05, -1.9454166248256576e-05, 12120000000, 
-7.279923059622107e-05, 6.800921901601879e-05, -1.705566176333395e-05, 12222000000, 
-6.384659105740376e-05, 5.851398391383862e-05, -1.4949831467632177e-05, 12324000000, 
-5.6150584692327143e-05, 5.030069519657917e-05, -1.3110155631524732e-05, 12426000000, 
-5.112534057660767e-05, 4.9267099173720324e-05, -7.757554073460682e-06, 12494000000, 
-4.487900178951065e-05, 4.082574370651645e-05, -1.0346535039974291e-05, 12596000000, 
-3.929204012176335e-05, 3.651608933168172e-05, -9.200154009175953e-06, 12698000000, 
-3.4356326424456185e-05, 3.225956664906644e-05, -8.059861046829652e-06, 12800000000, 
-3.0090344247835077e-05, 2.7882236448503977e-05, -7.054232333995712e-06, 12902000000, 
-2.6167229365769984e-05, 2.564127373898754e-05, -6.161745202588164e-06, 13004000000, 
-2.286431167708436e-05, 2.1587697311670752e-05, -5.38028819976688e-06, 13106000000, 
-1.9657765271796634e-05, 2.0957819642403428e-05, -4.670872829396266e-06, 13208000000, 
-1.7059455823531522e-05, 1.6982414694543222e-05, -4.051544228524051e-06, 13310000000, 
-1.4521093908204108e-05, 1.659060075377395e-05, -3.4842054202401933e-06, 13412000000, 
-1.2426529272246967e-05, 1.3689964940896349e-05, -2.9924813722708163e-06, 13514000000, 
-1.0455736508152569e-05, 1.2880998458133321e-05, -2.5434284588250475e-06, 13616000000, 
-8.784279959206387e-06, 1.0924552607491387e-05, -2.1533251102932026e-06, 13718000000, 
-7.4451368061723144e-06, 8.752569627673677e-06, -1.8145904226001262e-06, 13820000000, 
-6.044856133424759e-06, 9.152161259787948e-06, -1.514650557118635e-06, 13922000000, 
-5.275149476124952e-06, 7.546143699017713e-06, -8.506864561793985e-07, 13990000000, 
-4.080861796706969e-06, 7.805801826261324e-06, -1.047258983625454e-06, 14092000000, 
-3.1772203803459576e-06, 5.9061530481111886e-06, -8.522597524160956e-07, 14194000000, 
-2.4120193999888073e-06, 5.001313597105557e-06, -6.575669072388379e-07, 14296000000, 
-1.7434250827452757e-06, 4.369897498323736e-06, -4.986212106894427e-07, 14398000000, 
-1.0106227763539977e-06, 4.789557558112928e-06, -3.5129257361798945e-07, 14500000000, 
-4.948768606016785e-07, 3.370888338250453e-06, -2.209268809396647e-07, 14602000000, 
-8.255734762485645e-08, 2.694898777626288e-06, -1.079878749514762e-07, 14704000000, 
2.736708193395998e-07, 2.3282886729703027e-06, -2.0655910444311583e-08, 14806000000, 
5.45884627278781e-07, 1.7791752152887658e-06, 5.011587073155965e-08, 14908000000, 
9.569426167033157e-07, 2.686653525650554e-06, 1.2080186830587535e-07, 15010000000, 
8.779845801498709e-07, -7.740983975827921e-07, 1.0793013602731588e-07, 15078000000, 
1.1826012134008579e-06, 1.990958387261353e-06, 2.05191931897275e-07, 15180000000, 
1.4113131214799068e-06, 1.4948490724120847e-06, 2.360891262220832e-07, 15282000000, 
1.5091943299516686e-06, 6.3974646059975e-07, 2.7901138920860544e-07, 15384000000, 
