x, y, theta, stamp, 
-1.0206782562655525, -1.3202195968773611, -1.541123232588337, 2222010000000, 
-1.0204674293196656, -1.3273003602943618, -1.5409929166531078, 2222112000000, 
-1.020327679335863, -1.3319799109672767, -1.5409158734922017, 2222180000000, 
-1.0201193415320606, -1.3389385007335808, -1.5408203140045131, 2222282000000, 
-1.0199126412578823, -1.3458248566355229, -1.5407407630672592, 2222384000000, 
-1.0197076598891543, -1.3526394616165716, -1.5406745388073961, 2222486000000, 
-1.0195046903207774, -1.3593752037112854, -1.540618890611493, 2222588000000, 
-1.0193037776483012, -1.366032618940955, -1.540574204626685, 2222690000000, 
-1.0191042435510045, -1.372636043223474, -1.5405357504147672, 2222792000000, 
-1.018906569733163, -1.379170880401312, -1.540503559039002, 2222894000000, 
-1.0187107631343706, -1.3856381002722276, -1.540476887592214, 2222996000000, 
-1.0185168273876586, -1.3920383674965013, -1.5404546050324768, 2223098000000, 
-1.018324788022799, -1.3983715958689327, -1.5404359842045057, 2223200000000, 
-1.018134642505956, -1.4046385870161384, -1.5404204186140704, 2223302000000, 
-1.0179463760792913, -1.4108403143350512, -1.5404073863789953, 2223404000000, 
-1.017759978420987, -1.4169776033433805, -1.540396476502432, 2223506000000, 
-1.0176367484648292, -1.4210335890584926, -1.5403899870869737, 2223574000000, 
-1.0174534560221966, -1.4270645849786605, -1.5403818828073097, 2223676000000, 
-1.017272009608384, -1.433032704616147, -1.5403750889943852, 2223778000000, 
-1.0170923972660195, -1.4389387446764936, -1.5403693734747295, 2223880000000, 
-1.0169156341931875, -1.444749570346267, -1.5403648420240594, 2223982000000, 
-1.0167400699846696, -1.4505195676771376, -1.5403608028848947, 2224084000000, 
-1.0165658916236684, -1.4562428423431097, -1.5403573914736355, 2224186000000, 
-1.0163934911001806, -1.4619066668084677, -1.5403545307096345, 2224288000000, 
-1.0162228315538557, -1.4675124228561751, -1.540352097754186, 2224390000000, 
-1.0160539235327757, -1.4730599050305742, -1.5403500504600238, 2224492000000, 
-1.015886769769554, -1.4785491197218752, -1.5403483177647226, 2224594000000, 
-1.015721343347964, -1.4839810396737823, -1.5403468502876607, 2224696000000, 
-1.0155576273843576, -1.4893563638022012, -1.5403456096795802, 2224798000000, 
