acc_x, acc_y, angular_z, stamp, 
0.00870966911315918, -0.012022793292999268, 1.7402090714476267e-06, 1759349334773463736, 
0.021196305751800537, -0.0067002177238464355, 1.5772853762226467e-06, 1759349334804444610, 
-0.004029393196105957, -0.0301588773727417, 1.5005382600612023e-06, 1759349334834374857, 
0.0049343109130859375, -0.019239962100982666, -0.0001281030862375096, 1759349334864311265, 
0.056459784507751465, 0.036349594593048096, 0.0012928613782722809, 1759349334895663537, 
0.5797489881515503, 0.8304413557052612, 0.08428060408943489, 1759349334927462762, 
0.5386883616447449, 0.16930639743804932, 0.40134126966659556, 1759349334954172672, 
0.17279374599456787, 0.1429573893547058, 0.4721754020716441, 1759349334984658509, 
0.33672744035720825, 0.01713883876800537, 0.5644626104084898, 1759349335014000301, 
0.307453989982605, 0.26513177156448364, 0.6622923104332921, 1759349335043965443, 
0.36859381198883057, 0.5623534321784973, 0.8047740213161411, 1759349335073968466, 
0.24776071310043335, 0.204062819480896, 0.9387677658400844, 1759349335103884856, 
0.1942541003227234, -0.12705284357070923, 0.9929156878205196, 1759349335135650181, 
-0.23889553546905518, 0.1108810305595398, 1.0530513103920045, 1759349335166730497, 
-0.2513274550437927, 0.2628828287124634, 1.1900883890797143, 1759349335193719911, 
-0.003072679042816162, 0.06713104248046875, 1.0582435762991946, 1759349335223599779, 
0.04192692041397095, -0.14199483394622803, 1.0321487218125687, 1759349335253520392, 
-0.448469340801239, -0.07541334629058838, 1.0225714858782036, 1759349335283513307, 
0.19853395223617554, 0.022604823112487793, 1.0425250987063868, 1759349335313441290, 
-0.11721289157867432, 0.34631097316741943, 1.0061683919484694, 1759349335343433805, 
-0.041429102420806885, -0.0060214996337890625, 0.9554502658646904, 1759349335375444491, 
-0.279252290725708, -0.11889445781707764, 1.108946207502997, 1759349335403279183, 
0.184719979763031, 0.2941552400588989, 1.045270747610064, 1759349335433219473, 
-0.25104403495788574, 0.0652611255645752, 1.0703066315037497, 1759349335462152391, 
0.17158734798431396, -0.08326709270477295, 0.9856424383875052, 1759349335493269273, 
0.20427268743515015, 0.32053816318511963, 1.0310850980139699, 1759349335523051676, 
0.009945392608642578, -0.19939136505126953, 1.0504030695488074, 1759349335552983147, 
0.17547756433486938, 0.2587645649909973, 1.0443959065395263, 1759349335583463571, 
-0.2942081689834595, 0.3385241627693176, 0.9911975679481557, 1759349335615759275, 
-0.17406469583511353, -0.4245293140411377, 1.1516238960166139, 1759349335642832867, 
0.3325275182723999, 0.37521088123321533, 1.031788350865599, 1759349335672739173, 
-0.3505536913871765, 0.26694464683532715, 1.0567148434562612, 1759349335702697835, 
0.11761707067489624, -0.3195234537124634, 1.0637393254006349, 1759349335732617233, 
0.017787694931030273, 0.3306775689125061, 1.0667981180805304, 1759349335762576215, 
-0.3732451796531677, -0.10399985313415527, 1.0602807680955741, 1759349335792577492, 
0.5151387453079224, -0.12982416152954102, 1.020687786250751, 1759349335823332272, 
-0.16114521026611328, 0.4535127878189087, 0.9547893827071458, 1759349335855700828, 
0.08639401197433472, -0.116943359375, 1.1829349491192382, 1759349335882412707, 
-0.03402101993560791, -0.007388412952423096, 1.0605262806787543, 1759349335912286905, 
-0.39817100763320923, -0.07078027725219727, 0.8885754585832935, 1759349335935803112, 
0.3028411865234375, -0.09196150302886963, 1.167246148279015, 1759349335971154499, 
0.033689677715301514, 0.03153085708618164, 1.0013118688921026, 1759349336002180375, 
0.13580411672592163, 0.2147257924079895, 1.0549937168977443, 1759349336032109592, 
0.06542408466339111, -0.055507004261016846, 1.014370559299691, 1759349336063629834, 
-0.17601370811462402, 0.006709277629852295, 0.9895774158158377, 1759349336095434119, 
0.14254653453826904, 0.09039086103439331, 1.186795010166398, 1759349336121889906, 
-0.2501119375228882, 0.020709872245788574, 1.050569430834108, 1759349336151826761, 
0.2383784055709839, 0.11873185634613037, 1.0673349254276352, 1759349336181800772, 
0.3763391971588135, 0.2016391158103943, 1.1677561183020986, 1759349336211841799, 
0.4318242073059082, 0.16390293836593628, 1.3195972999402104, 1759349336241728936, 
0.6474990844726562, 0.23254400491714478, 1.3864621231741168, 1759349336271645562, 
