acc_x, acc_y, angular_z, stamp, 
-0.06527757714456538, 0.023950828381646277, -5.607416766816e-06, 240752000000, 
-0.06778367273025246, 0.037457183559829736, -0.0002258132146230726, 240757000000, 
-0.07994817710276303, -0.0015067600004819806, -5.360956352030442e-05, 240762000000, 
-0.09013191565707174, 0.016735718414875037, -4.566640851998198e-05, 240767000000, 
-0.0813868592193577, -0.02372989556555518, -0.00019654836962333064, 240772000000, 
-0.032995106999993154, 0.01336169559434306, -0.0003736404473942041, 240777000000, 
-0.07033445635361951, -0.03844184421988074, -0.00011172191159434551, 240782000000, 
-0.07255338877781155, 0.0011424670285226327, -0.00046768185474393997, 240787000000, 
-0.07446498292424189, -0.01626395872470281, 0.00026652864628174224, 240792000000, 
-0.05864327286839536, 0.031236829326229922, 2.59544410532101e-05, 240797000000, 
-0.0346373585337429, 0.014832893916605435, -0.00030619990945053, 240802000000, 
-0.06676309915558565, -0.007455960791837027, -0.00012486106859625117, 240807000000, 
-0.05306700776375188, 0.04725792382768878, 0.00023319967904284207, 240812000000, 
-0.044936007786838796, 0.028275842548622497, -3.2194752873708685e-05, 240817000000, 
-0.09052027370447992, -7.538814123398329e-06, -0.00032150147923930153, 240822000000, 
-0.05717229309060495, 0.025119267539722042, -0.00010165610856348369, 240827000000, 
-0.047681593522392415, 0.008051277767897743, 0.00021001448241236598, 240832000000, 
-0.05799368566983551, -0.012001434798240453, -0.00018458343684642496, 240837000000, 
-0.03925740069943538, 0.01009716928545236, -0.0001023612880327617, 240842000000, 
-0.05495245061308371, 0.009970731141347318, 0.0005072386287396287, 240847000000, 
-0.0504090018724918, -0.0006319557052008873, 0.00043384781647292443, 240852000000, 
-0.06997637510489457, -0.010704436690407819, -0.00010344383551778814, 240857000000, 
-0.039396411809039, -0.008428360752077573, 0.00020076950542127984, 240862000000, 
-0.04478587384779635, 0.00910479633692551, 0.00032119841354593157, 240867000000, 
-0.08024465907262526, -0.019313595304710645, 8.969093829789941e-05, 240872000000, 
-0.033891333470339104, 0.008940267966038518, -0.00017944949089654993, 240877000000, 
-0.05593338661140309, 0.026161587497469215, 8.858819084100003e-05, 240882000000, 
-0.027317672983379254, 0.015716364942434207, 5.658814829506223e-05, 240887000000, 
-0.05621646228475858, 0.010807575372112549, 5.510503529394952e-05, 240892000000, 
-0.0511680063128123, -0.007007557949056218, 0.00019445152641743715, 240897000000, 
