x, y, th, stamp, 
-0.987343966960907, -4.209475040435791, 2.2467890686209486, 1759349837482880157, 
-0.987343966960907, -4.209475040435791, 2.2467890656258884, 1759349837529843783, 
-0.987343966960907, -4.209475040435791, 2.24678907119791, 1759349837580016277, 
-0.987343966960907, -4.209475040435791, 2.2467890740301977, 1759349837621510669, 
-0.9885753989219666, -4.2080607414245605, 2.2457926886223962, 1759349837690060532, 
-0.9902356266975403, -4.206009387969971, 2.2458989299774537, 1759349837721516839, 
-0.9949136972427368, -4.199862480163574, 2.2451228882816507, 1759349837781811956, 
-1.0007436275482178, -4.192906856536865, 2.2448115463056264, 1759349837831775717, 
-1.0074414014816284, -4.184563636779785, 2.246305471528468, 1759349837881800116, 
-1.0151273012161255, -4.175007343292236, 2.247390820817791, 1759349837928815106, 
-1.0251553058624268, -4.162580966949463, 2.2474885076273807, 1759349837979921218, 
-1.034557819366455, -4.151074409484863, 2.24829113148301, 1759349838021166284, 
-1.05160653591156, -4.129578113555908, 2.2489486507002407, 1759349838089428464, 
-1.0604110956192017, -4.1188507080078125, 2.24776696239326, 1759349838121134329, 
-1.0770001411437988, -4.098039627075195, 2.244819175714916, 1759349838181805847, 
-1.0908160209655762, -4.080632209777832, 2.2425668035611923, 1759349838231910193, 
-1.1046651601791382, -4.063529014587402, 2.240333958248999, 1759349838281834489, 
-1.1181682348251343, -4.046359062194824, 2.236455216436087, 1759349838332710775, 
-1.1310628652572632, -4.030222415924072, 2.2330508716265585, 1759349838378960921, 
-1.1428124904632568, -4.0150465965271, 2.2307737293046594, 1759349838422049131, 
-1.156351089477539, -3.997980833053589, 2.2287233738348564, 1759349838471465723, 
-1.1699539422988892, -3.98083233833313, 2.227881116505964, 1759349838521913946, 
-1.1862221956253052, -3.9595563411712646, 2.226542856622156, 1759349838582919926, 
-1.1997010707855225, -3.9422340393066406, 2.2219096629108157, 1759349838631865534, 
-1.2131699323654175, -3.924842596054077, 2.217356899902019, 1759349838681832446, 
-1.226364254951477, -3.907247304916382, 2.215205372974726, 1759349838731781528, 
-1.238540530204773, -3.8911280632019043, 2.2118722704537697, 1759349838777932004, 
-1.2553212642669678, -3.868539571762085, 2.2079457263042785, 1759349838841887790, 
-1.2633365392684937, -3.8580105304718018, 2.2056538602253863, 1759349838872662164, 
-1.280601978302002, -3.8345956802368164, 2.2016438289190736, 1759349838937212497, 
-1.292033076286316, -3.8188529014587402, 2.198942743253657, 1759349838981975198, 
-1.3049631118774414, -3.8011374473571777, 2.1960859561747386, 1759349839031777878, 
-1.3179142475128174, -3.7832963466644287, 2.1933969960790938, 1759349839081832564, 
-1.330868124961853, -3.765084981918335, 2.192125238474546, 1759349839131777815, 
-1.3436681032180786, -3.747647285461426, 2.1881958352319595, 1759349839183944127, 
-1.3540287017822266, -3.7331085205078125, 2.1854663021826495, 1759349839221550334, 
-1.371792197227478, -3.7077372074127197, 2.181119504114395, 1759349839291833846, 
-1.3845497369766235, -3.6899030208587646, 2.177030132075041, 1759349839342169640, 
-1.3946822881698608, -3.6752679347991943, 2.175199197084919, 1759349839381831201, 
-1.4072126150131226, -3.657092571258545, 2.1721611792116424, 1759349839431835173, 
-1.4197953939437866, -3.638807535171509, 2.16900723042091, 1759349839481788053, 
-1.432259202003479, -3.6206769943237305, 2.165680383533815, 1759349839531803590, 
-1.444841980934143, -3.602259635925293, 2.162047645995962, 1759349839581918868, 
-1.4545509815216064, -3.5875322818756104, 2.1606651863957955, 1759349839621160995, 
-1.4682730436325073, -3.5672168731689453, 2.1572667745421246, 1759349839676367674, 
-1.4784198999404907, -3.551938533782959, 2.1546254236174054, 1759349839717373034, 
-1.4950777292251587, -3.52748441696167, 2.15075491132985, 1759349839786996199, 
-1.506801962852478, -3.5095877647399902, 2.1465466713230565, 1759349839835806245, 
-1.5169861316680908, -3.4940030574798584, 2.1431670053753282, 1759349839877815651, 
-1.5286015272140503, -3.4758048057556152, 2.1416670293570417, 1759349839927794631, 
-1.5405187606811523, -3.4573497772216797, 2.138418643300462, 1759349839977944678, 
-1.5518341064453125, -3.4397923946380615, 2.136430386471736, 1759349840024155711, 
-1.5642250776290894, -3.4205849170684814, 2.133276424763409, 1759349840075690355, 
-1.579612135887146, -3.3961217403411865, 2.130979064110936, 1759349840141117558, 
-1.5889134407043457, -3.3815741539001465, 2.12885998172454, 1759349840183827000, 
-1.600573182106018, -3.3626856803894043, 2.1268745378678484, 1759349840231813448, 
-1.6121196746826172, -3.3442556858062744, 2.122350768569708, 1759349840281815739, 
-1.6236857175827026, -3.325639009475708, 2.1188527130540264, 1759349840331816886, 
-1.6352756023406982, -3.306938409805298, 2.1148134051211063, 1759349840381936171, 
-1.6444013118743896, -3.2919564247131348, 2.1127661138384863, 1759349840422693514, 
-1.655993103981018, -3.27293062210083, 2.110674860464933, 1759349840471173793, 
-1.6719576120376587, -3.24657940864563, 2.1066310283428686, 1759349840541885788, 
-1.681089997291565, -3.2315495014190674, 2.1039269343451568, 1759349840582852288, 
-1.6921277046203613, -3.212446928024292, 2.1007174798230936, 1759349840632799632, 
-1.7032326459884644, -3.1935343742370605, 2.0980937098924293, 1759349840681807691, 
-1.7141624689102173, -3.174633741378784, 2.0950226869927335, 1759349840731825429, 
-1.7254356145858765, -3.1551618576049805, 2.0916794491117545, 1759349840781935642, 
-1.7342607975006104, -3.140023946762085, 2.088125686605361, 1759349840821189298, 
-1.745054841041565, -3.120771884918213, 2.083997711096129, 1759349840872031627, 
-1.7602057456970215, -3.0938570499420166, 2.0801596505061632, 1759349840942086876, 
-1.7688071727752686, -3.0785341262817383, 2.07741714081889, 1759349840981830618, 
-1.779764175415039, -3.058804988861084, 2.0754361751972903, 1759349841031896370, 
-1.79053795337677, -3.039851427078247, 2.071849852962521, 1759349841081902751, 
-1.8010354042053223, -3.020174264907837, 2.067023947082096, 1759349841131837260, 
-1.811636209487915, -3.0009026527404785, 2.0639590192697437, 1759349841181897899, 
-1.8199799060821533, -2.9855258464813232, 2.0614710691759877, 1759349841221159738, 
-1.8303837776184082, -2.96616792678833, 2.0573935355936976, 1759349841273686935, 
-1.844922661781311, -2.9386019706726074, 2.0528407876968133, 1759349841342652998, 
-1.8530164957046509, -2.923074245452881, 2.049503704564821, 1759349841382531175, 
-1.8632192611694336, -2.903580665588379, 2.046302321628876, 1759349841432849819, 
-1.8731157779693604, -2.883920192718506, 2.0422762443677467, 1759349841481845870, 
-1.8831045627593994, -2.864302158355713, 2.0392232034887536, 1759349841531223298, 
-1.893232822418213, -2.8445065021514893, 2.037688374434413, 1759349841581330101, 
-1.9010226726531982, -2.8286635875701904, 2.0345121737285274, 1759349841622335442, 
-1.9109586477279663, -2.8090860843658447, 2.0316798863710686, 1759349841672887896, 
-1.920653223991394, -2.7895827293395996, 2.0291484737193777, 1759349841721422292, 
-1.932295322418213, -2.765936851501465, 2.0261215914461785, 1759349841781933839, 
-1.9420527219772339, -2.7463626861572266, 2.022321291187678, 1759349841832895565, 
-1.9515563249588013, -2.726533889770508, 2.0188527870167405, 1759349841881871901, 
-1.9609246253967285, -2.706817865371704, 2.015612985075984, 1759349841931451638, 
-1.9702931642532349, -2.687175750732422, 2.0129859376295323, 1759349841981215362, 
-1.9777405261993408, -2.6713600158691406, 2.010350939064869, 1759349842021358552, 
-1.990789532661438, -2.6436891555786133, 2.0055464873075675, 1759349842092101219, 
-1.9964500665664673, -2.6315598487854004, 2.0032982115784934, 1759349842121234992, 
-2.00748610496521, -2.6080245971679688, 1.9998830986349758, 1759349842181413816, 
-2.0164289474487305, -2.588109254837036, 1.9979414697591753, 1759349842232195417, 
-2.025761842727661, -2.568166494369507, 1.9934087051402383, 1759349842281174294, 
-2.0347211360931396, -2.5482778549194336, 1.9894158173968526, 1759349842331840729, 
-2.043302059173584, -2.5287866592407227, 1.9849942619016487, 1759349842380856640, 
-2.0506439208984375, -2.5122525691986084, 1.981888751625965, 1759349842421937744, 
-2.059688091278076, -2.4917871952056885, 1.9781308244770248, 1759349842473860439, 
-2.0716724395751953, -2.464718818664551, 1.9742174411211926, 1759349842540262713, 
