x, y, th, stamp, 
-1.0443388223648071, -3.7858896255493164, 2.5345273294795274, 1759349564877775306, 
-1.0444740056991577, -3.785856246948242, 2.5345273294795274, 1759349564928802715, 
-1.046599268913269, -3.7843804359436035, 2.5410826163283553, 1759349564968632807, 
-1.0505231618881226, -3.7820069789886475, 2.5551776882136097, 1759349565018566946, 
-1.0726460218429565, -3.768907308578491, 2.632910800208756, 1759349565180052791, 
-1.0814814567565918, -3.7641563415527344, 2.6635638821421237, 1759349565228108074, 
-1.0903079509735107, -3.7596020698547363, 2.696517231901921, 1759349565278104852, 
-1.0991008281707764, -3.755525588989258, 2.7283196652045447, 1759349565328990108, 
-1.1059443950653076, -3.7526063919067383, 2.7514281523878137, 1759349565368939170, 
-1.1149582862854004, -3.7490503787994385, 2.7812345060905703, 1759349565419250783, 
-1.1271634101867676, -3.7447149753570557, 2.8221411870502564, 1759349565488153427, 
-1.1345540285110474, -3.742401599884033, 2.8460969316209743, 1759349565528340600, 
-1.143687129020691, -3.7397689819335938, 2.876295073690565, 1759349565579059847, 
-1.1528583765029907, -3.7374989986419678, 2.904921978336219, 1759349565627967883, 
-1.1623371839523315, -3.7353174686431885, 2.9350535770233073, 1759349565678875908, 
-1.1719640493392944, -3.733400344848633, 2.9648129642825616, 1759349565728304392, 
-1.179306983947754, -3.732253313064575, 2.9880526164015646, 1759349565768573618, 
-1.1885663270950317, -3.7309987545013428, 3.0184645732632704, 1759349565818687441, 
-1.2017306089401245, -3.729621410369873, 3.060033320953583, 1759349565887126559, 
-1.2092758417129517, -3.728964328765869, 3.0852599133912704, 1759349565928803621, 
-1.2189364433288574, -3.7284960746765137, 3.1155588673637666, 1759349565979077213, 
-1.2285513877868652, -3.728527307510376, -3.1399760247811455, 1759349566027801687, 
-1.2381073236465454, -3.728759765625, -3.1105368135832836, 1759349566077736136, 
-1.247652292251587, -3.7291245460510254, -3.079791309463229, 1759349566127810273, 
-1.2589995861053467, -3.7299399375915527, -3.042734386083167, 1759349566187546628, 
-1.2648581266403198, -3.7306904792785645, -3.0241815878619036, 1759349566218802524, 
-1.278201937675476, -3.7323989868164062, -2.9817375799488457, 1759349566287916065, 
-1.2856494188308716, -3.733475923538208, -2.957108981041206, 1759349566329808558, 
-1.2948293685913086, -3.735435962677002, -2.9273464712804134, 1759349566379808646, 
-1.3041205406188965, -3.737413167953491, -2.8964042890409782, 1759349566430831012, 
-1.3130213022232056, -3.739755153656006, -2.869303249385234, 1759349566476763750, 
-1.3219966888427734, -3.7422034740448, -2.8391255860017224, 1759349566526839434, 
-1.329787254333496, -3.7447142601013184, -2.8139899053425848, 1759349566568876748, 
-1.3387097120285034, -3.7479612827301025, -2.784940008459958, 1759349566618850411, 
-1.35077702999115, -3.7527079582214355, -2.7438526363684095, 1759349566686308790, 
-1.3580608367919922, -3.7558016777038574, -2.719091821437802, 1759349566728844374, 
-1.36679208278656, -3.759901523590088, -2.688647110978284, 1759349566778814069, 
-1.3750145435333252, -3.764108896255493, -2.6583158369158753, 1759349566828813697, 
-1.3832095861434937, -3.7685022354125977, -2.6299142844186565, 1759349566876810756, 
-1.391530156135559, -3.7733404636383057, -2.6001365273571744, 1759349566926801177, 
-1.4015896320343018, -3.7793381214141846, -2.561701223550763, 1759349566988967737, 
-1.4062930345535278, -3.7823777198791504, -2.5425288321488018, 1759349567018756523, 
-1.4165997505187988, -3.789801597595215, -2.5019489240878587, 1759349567086019497, 
-1.4233390092849731, -3.7947838306427, -2.476066313653458, 1759349567128924421, 
-1.4306467771530151, -3.8008198738098145, -2.4469676627203807, 1759349567178801063, 
-1.4378689527511597, -3.8069822788238525, -2.4166394821950257, 1759349567228837414, 
-1.4442315101623535, -3.8128106594085693, -2.388122493368018, 1759349567275775514, 
-1.4512660503387451, -3.819382667541504, -2.357445252369951, 1759349567325831574, 
-1.457093596458435, -3.8252639770507812, -2.332838760337845, 1759349567369038089, 
-1.4637573957443237, -3.832127571105957, -2.304010608012051, 1759349567418976490, 
-1.4722671508789062, -3.841682195663452, -2.2635194589493515, 1759349567485841991, 
-1.4774761199951172, -3.8480679988861084, -2.2370490323570875, 1759349567528842662, 
-1.4834709167480469, -3.8555853366851807, -2.2066454918776817, 1759349567578852756, 
-1.4893792867660522, -3.8636860847473145, -2.1757130308101456, 1759349567628852244, 
-1.4948029518127441, -3.871608257293701, -2.145199331334922, 1759349567679787575, 
-1.4994196891784668, -3.878849506378174, -2.11808192313233, 1759349567724858842, 
-1.5057216882705688, -3.8893520832061768, -2.0796297753506283, 1759349567788362400, 
-1.5086121559143066, -3.8942723274230957, -2.0614444109491776, 1759349567818535602, 
-1.5143533945083618, -3.9054489135742188, -2.0215099862818753, 1759349567884934057, 
-1.518065333366394, -3.9132163524627686, -1.994718179788136, 1759349567928851920, 
-1.5219165086746216, -3.9218385219573975, -1.9656763871943834, 1759349567978846104, 
-1.525510311126709, -3.930694818496704, -1.9357953561019807, 1759349568028844607, 
-1.5287950038909912, -3.939673900604248, -1.9046050309392668, 1759349568079009001, 
-1.5315407514572144, -3.947737455368042, -1.877710989026916, 1759349568124024116, 
-1.5351667404174805, -3.9596290588378906, -1.838169547990996, 1759349568188952248, 
-1.5375728607177734, -3.9686782360076904, -1.808895366589037, 1759349568238368720, 
-1.5390031337738037, -3.974273681640625, -1.7912888187340332, 1759349568268887523, 
-1.5413657426834106, -3.9855618476867676, -1.7551973533632674, 1759349568328835058, 
-1.543036699295044, -3.995134115219116, -1.7251752800817173, 1759349568378859819, 
-1.5444982051849365, -4.004528522491455, -1.6949248364639362, 1759349568428813730, 
-1.5455458164215088, -4.014061450958252, -1.6649801895305598, 1759349568477789044, 
-1.5464434623718262, -4.023717880249023, -1.6328975622445514, 1759349568529817432, 
-1.5468839406967163, -4.035151481628418, -1.5963697635157574, 1759349568589094913, 
-1.5470863580703735, -4.04479455947876, -1.5664631673418283, 1759349568638375120, 
-1.5472609996795654, -4.054233074188232, -1.535565708839693, 1759349568688905009, 
-1.5469558238983154, -4.06158971786499, -1.5117372962573439, 1759349568728875205, 
-1.5463370084762573, -4.071322917938232, -1.4821520106273884, 1759349568778832560, 
-1.5453358888626099, -4.080741882324219, -1.4529016398906578, 1759349568828853067, 
-1.544032096862793, -4.0901360511779785, -1.4236210382875292, 1759349568878794449, 
-1.542610764503479, -4.099508285522461, -1.392082528876709, 1759349568930002906, 
-1.5411802530288696, -4.10692834854126, -1.3679806336126223, 1759349568968749008, 
-1.5391100645065308, -4.11643648147583, -1.3371156547942527, 1759349569018140365, 
-1.535782814025879, -4.1294732093811035, -1.2964725939798087, 1759349569088863445, 
-1.533599853515625, -4.1370134353637695, -1.272319556893216, 1759349569128866469, 
-1.5306808948516846, -4.145902156829834, -1.242779297718579, 1759349569178868275, 
-1.527547836303711, -4.1547980308532715, -1.2131867449913158, 1759349569228847507, 
-1.524096131324768, -4.163652420043945, -1.1819698271584245, 1759349569278801629, 
-1.5203239917755127, -4.172641277313232, -1.1521688490872228, 1759349569328916909, 
-1.5172357559204102, -4.179563999176025, -1.1283571367467955, 1759349569368391646, 
-1.5127737522125244, -4.188756465911865, -1.0959914801238728, 1759349569422057942, 
-1.5071614980697632, -4.1992058753967285, -1.0588978610168367, 1759349569484073623, 
-1.502429485321045, -4.207306385040283, -1.0285074935971537, 1759349569534873657, 
-1.4974725246429443, -4.21502685546875, -0.9994661130049336, 1759349569581857286, 
-1.4929797649383545, -4.221907138824463, -0.9738400332037068, 1759349569624862574, 
-1.487117886543274, -4.2302069664001465, -0.9424967000147183, 1759349569678804619, 
-1.4813717603683472, -4.237735748291016, -0.9132497564210778, 1759349569728917304, 
-1.4766514301300049, -4.2437543869018555, -0.8892207527818601, 1759349569768779684, 
-1.4704936742782593, -4.251011848449707, -0.8590970683622486, 1759349569818156450, 
-1.4616127014160156, -4.260904312133789, -0.8159348563597417, 1759349569888919610, 
-1.4564001560211182, -4.266200065612793, -0.7930499003143848, 1759349569928851902, 
-1.4495314359664917, -4.272946834564209, -0.7630407756235082, 1759349569978878766, 
-1.442664623260498, -4.279322147369385, -0.7332259354274663, 1759349570028864996, 
-1.4354897737503052, -4.285696506500244, -0.7045959940953649, 1759349570078808728, 
-1.4281704425811768, -4.291758060455322, -0.6747292029769292, 1759349570128937108, 
-1.42220139503479, -4.296519756317139, -0.6505113946692446, 1759349570168274239, 
-1.414646863937378, -4.302238464355469, -0.6197039809886475, 1759349570219090770, 
-1.4034557342529297, -4.309742450714111, -0.5779065967489674, 1759349570288999311, 
-1.3970561027526855, -4.313906192779541, -0.5534605540045561, 1759349570328975040, 
-1.3886635303497314, -4.3188276290893555, -0.5220541401514721, 1759349570380863254, 
-1.3808141946792603, -4.32328462600708, -0.492051149407961, 1759349570428391177, 
-1.3725513219833374, -4.327599048614502, -0.46163564156570425, 1759349570478347340, 
-1.3637851476669312, -4.331729412078857, -0.4321736775876531, 1759349570529309457, 
-1.3565435409545898, -4.3348612785339355, -0.40883948614469695, 1759349570568854811, 
