x, y, th, stamp, 
-1.4418895244598389, -3.646103858947754, -1.5653352516510972, 1759349336417423011, 
-1.4422889947891235, -3.6585144996643066, -1.475136695910395, 1759349336479366451, 
-1.4410780668258667, -3.668267250061035, -1.404381660568011, 1759349336527417652, 
-1.4396300315856934, -3.6775074005126953, -1.3362129216710608, 1759349336573382867, 
-1.4372832775115967, -3.6870856285095215, -1.2622965758595857, 1759349336622387157, 
-1.4346710443496704, -3.6960456371307373, -1.1862370005264538, 1759349336672415422, 
-1.4310672283172607, -3.7054004669189453, -1.1087354207513647, 1759349336723495169, 
-1.4272704124450684, -3.7131547927856445, -1.0441904055807405, 1759349336767187233, 
-1.4200835227966309, -3.725379467010498, -0.9412400843562344, 1759349336837621328, 
-1.415189504623413, -3.732060432434082, -0.882957763235358, 1759349336878496806, 
-1.4086593389511108, -3.739767074584961, -0.8087298303968714, 1759349336927407220, 
-1.4018669128417969, -3.7470204830169678, -0.7323605972616415, 1759349336977407621, 
-1.3947489261627197, -3.7536003589630127, -0.6585150125443026, 1759349337027418241, 
-1.3873257637023926, -3.759532928466797, -0.585543187138905, 1759349337077410227, 
-1.3810772895812988, -3.7638964653015137, -0.5274594372239957, 1759349337118514190, 
-1.3733856678009033, -3.7684197425842285, -0.45991815036576666, 1759349337167192274, 
-1.3619378805160522, -3.7738735675811768, -0.3676868004161418, 1759349337237976489, 
-1.3551530838012695, -3.776702404022217, -0.3174107764776357, 1759349337277353356, 
-1.3471705913543701, -3.7794718742370605, -0.25729467968573927, 1759349337327411134, 
-1.3390448093414307, -3.781755208969116, -0.1945427687734434, 1759349337377392584, 
-1.3312970399856567, -3.7835381031036377, -0.13184019519442444, 1759349337427411997, 
-1.323571801185608, -3.784640073776245, -0.07107635106369499, 1759349337477389333, 
-1.317259669303894, -3.785386800765991, -0.02290921059247151, 1759349337518461560, 
-1.3090333938598633, -3.7857649326324463, 0.03490432368661497, 1759349337569919707, 
-1.2978090047836304, -3.785367965698242, 0.11194273896079351, 1759349337637776512, 
-1.2917367219924927, -3.78484845161438, 0.15540547444026184, 1759349337677354350, 
-1.283775806427002, -3.7838618755340576, 0.20991694838488897, 1759349337728354055, 
-1.2766364812850952, -3.782486915588379, 0.2620554713505343, 1759349337777404407, 
-1.2695825099945068, -3.780745506286621, 0.3146292104542115, 1759349337827361774, 
-1.2623740434646606, -3.7785842418670654, 0.36704865748387905, 1759349337878620259, 
-1.2569305896759033, -3.7766125202178955, 0.40650752210636315, 1759349337917510812, 
-1.250388503074646, -3.7741146087646484, 0.4563995282282986, 1759349337968467680, 
-1.2435073852539062, -3.7709312438964844, 0.5050864729876003, 1759349338018018791, 
-1.2354975938796997, -3.7669341564178467, 0.5647314379678438, 1759349338078707478, 
-1.229072093963623, -3.7629477977752686, 0.6156095453996165, 1759349338128956108, 
-1.2233126163482666, -3.7588753700256348, 0.6644959549305178, 1759349338177830616, 
-1.2175170183181763, -3.7546098232269287, 0.7148828738100532, 1759349338227825920, 
-1.2118090391159058, -3.7499349117279053, 0.7655963920096682, 1759349338277716340, 
-1.2074118852615356, -3.7459030151367188, 0.8062642996142754, 1759349338318415337, 
-1.202297329902649, -3.740633249282837, 0.8545632391322545, 1759349338368474593, 
-1.1973052024841309, -3.7348761558532715, 0.9046479606055805, 1759349338417747224, 
-1.1914594173431396, -3.7277793884277344, 0.9658134296854133, 1759349338478529235, 
-1.1871259212493896, -3.7219016551971436, 1.0168918068808332, 1759349338528644663, 
