odom_x, odom_y, odom_th, odom_vx, odom_yawrate, pf_x, pf_y, pf_th, stamp, 
-5.383877237363777e-07, 6.19919717337325e-07, -6.199500377656886e-06, 0.0, 5.683937695510899e-11, 0.030234055439520565, 0.08597387491386263, 0.005507195947545948, 1762984980718593199, 
-5.590948717326683e-07, 6.437628599087475e-07, -6.437926818127368e-06, -2.9692130635378185e-07, -3.2488790111528942e-06, 0.02945530843113, 0.08343367586265628, 0.007039702916172262, 1762984980928380322, 
-5.798020197289588e-07, 6.6760600248017e-07, -6.676357310464387e-06, 0.0, -2.8446883737487383e-11, 0.028762744160598798, 0.08642379984460667, 0.004634770843073381, 1762984981118591875, 
-5.798020197289588e-07, 6.6760600248017e-07, -6.6763580901538216e-06, 0.0, 1.5578385159642494e-07, 0.029059337661788368, 0.08607398685232934, 0.007903795711582565, 1762984981310623813, 
-6.005091677252494e-07, 6.914491450515925e-07, -6.914781961078758e-06, 0.0, 5.6951041105257616e-11, 0.029551658129556412, 0.09132201936180619, 0.0023047982820827064, 1762984981518599951, 
-6.005091677252494e-07, 6.914491450515925e-07, -6.914783196960814e-06, 0.0, 6.9879484143609e-11, 0.0318269232479761, 0.0876626542644854, 0.0023826893765557093, 1762984981658662342, 
-6.005091677252494e-07, 6.914491450515925e-07, -6.914777739731076e-06, 0.0, 6.104526606431904e-11, 0.02847293617205968, 0.08546289238283519, 0.007742782856300216, 1762984981758215448, 
-5.798020197289588e-07, 6.6760600248017e-07, -6.676351137136106e-06, 0.0, -4.4899593376612756e-08, 0.025517829014654946, 0.08887426211610228, 0.000656051333132065, 1762984981870641981, 
-5.590948717326683e-07, 6.437628599087475e-07, -6.437919305824101e-06, 0.0, 3.417879868017337e-11, 0.02727446834699074, 0.0895511293391953, 0.003664404022929058, 1762984982059717722, 
0.003379899077117443, -0.0004064527165610343, -0.028957166553198504, 0.04709348828219449, -0.389165461063385, 0.0293050188547238, 0.08470276455230578, -0.0170978447250372, 1762984982179578500, 
0.012649048119783401, -0.0011422405950725079, -0.08005191401084355, 0.11627382528302084, -0.5278225541114807, 0.03584765293973949, 0.08928234223680628, -0.08041900752172981, 1762984982270698397, 
0.035989586263895035, -0.0049484590999782085, -0.17556789984685375, 0.11723359453421762, -0.5329748392105103, 0.05384502400330042, 0.09225999073895956, -0.15934275929876002, 1762984982459737741, 
0.0496131032705307, -0.008322021923959255, -0.23677100119727482, 0.11653037838515562, -0.4918351173400879, 0.07616044651269119, 0.08686702110408469, -0.22423718832639553, 1762984982579442017, 
0.06546861678361893, -0.013422610238194466, -0.30745113847621763, 0.12542254526644694, -0.5016429424285889, 0.08929811797330728, 0.07702189001102323, -0.2913115914880934, 1762984982718607258, 
0.08117690682411194, -0.019733041524887085, -0.3768530984305934, 0.11884975137925043, -0.49431607127189636, 0.10805511796846766, 0.07785862827470016, -0.3567553570768185, 1762984982859704211, 
0.09415574371814728, -0.025586644187569618, -0.4370807951319037, 0.1113977633778528, -0.5207055807113647, 0.12202953439591613, 0.06851585260759424, -0.4252211398618848, 1762984982979516060, 
0.1039135754108429, -0.030033202841877937, -0.48238843964784967, 0.11435463025299478, -0.49553167819976807, 0.13583061355572618, 0.0663866228945794, -0.4872950475708994, 1762984983070618955, 
0.12236843258142471, -0.04191043600440025, -0.578338991266805, 0.11350454827784248, -0.49793148040771484, 0.15493241174574052, 0.05765388265532528, -0.5588024976304122, 1762984983259701265, 
0.13199645280838013, -0.04892342537641525, -0.6279845420445767, 0.1269475753353965, -0.49446311593055725, 0.1643081480075906, 0.048011225114325824, -0.6184531769219247, 1762984983357865144, 
0.1417843997478485, -0.05701229348778725, -0.6838300139692546, 0.11212272085528342, -0.5165037512779236, 0.175310004444932, 0.03565835275344129, -0.6785461829680572, 1762984983470652589, 
0.15798678994178772, -0.07185559719800949, -0.7780476769337333, 0.112569714204, -0.47803473472595215, 0.189367473421802, 0.027898583393324357, -0.7492464287082312, 1762984983659718763, 
0.1658734232187271, -0.08065295219421387, -0.8241262048888155, 0.1192149363930609, -0.4660816192626953, 0.20635403868681054, 0.013835156381258956, -0.8097870879725276, 1762984983758347890, 
0.17373287677764893, -0.09013208746910095, -0.8700038950104713, 0.10969662835034744, -0.3949406147003174, 0.2163064272365501, 0.00392246408963297, -0.8634220882884412, 1762984983869627764, 
0.1805008500814438, -0.09917782247066498, -0.9050852064701685, 0.11328918145758111, -0.3302428126335144, 0.22899128400011365, -0.005666717764497308, -0.9104897393468991, 1762984983968626670, 
