odom_x, odom_y, odom_th, odom_vx, odom_yawrate, pf_x, pf_y, pf_th, stamp, 
-3.934543713057792e-07, 4.5301780460249574e-07, -4.5299172368304e-06, 0.0, 2.875375173516659e-07, -0.012958941425248888, 0.21753980958653196, 0.41266383994540545, 1762985118616017718, 
-3.934543713057792e-07, 4.5301780460249574e-07, -4.52991769359308e-06, 0.0, -1.0327481057836874e-11, -0.01602922120241902, 0.22175333752459142, 0.4203944576197542, 1762985118866021348, 
-3.934543713057792e-07, 4.5301780460249574e-07, -4.529917072825585e-06, 0.0, -1.692582962675715e-08, -0.01907975660049268, 0.22019506510858636, 0.41240673949929224, 1762985119062340511, 
-3.727462853930774e-07, 4.291747188744921e-07, -4.291497159358989e-06, 0.0, 0.0, -0.020533586787076803, 0.2209529037100367, 0.41891463187636563, 1762985119265980389, 
-3.727462853930774e-07, 4.291747188744921e-07, -4.291496494764632e-06, 0.0, -3.121996599020349e-07, -0.01852060008724845, 0.2147264298264096, 0.4149663561052723, 1762985119462841783, 
-3.727462853930774e-07, 4.291747188744921e-07, -4.291493594404612e-06, 0.0, 6.197840851651648e-11, -0.012238692567365515, 0.21229920124156898, 0.4213568725495979, 1762985119666030397, 
-3.727462853930774e-07, 4.291747188744921e-07, -4.2914909173579946e-06, 0.0, -1.3037941926086205e-07, -0.019606078915737055, 0.21412673032595983, 0.417936692126506, 1762985119714958334, 
-3.727462853930774e-07, 4.291747188744921e-07, -4.291484765323756e-06, 0.0, -9.224191188650366e-08, -0.014591169360930693, 0.21273798186800552, 0.41466452752990224, 1762985119816063214, 
-3.727462853930774e-07, 4.291747188744921e-07, -4.291479480595084e-06, 0.0, 6.183314971153209e-11, -0.018179546627082134, 0.21527967217509786, 0.4137973772842139, 1762985119906758215, 
-3.727462853930774e-07, 4.291747188744921e-07, -4.291484143564307e-06, 0.0, -1.567975118632603e-07, -0.015547171566445885, 0.22616676270709465, 0.4084040541177841, 1762985120022035144, 
-3.520381994803756e-07, 4.0533163314648846e-07, -4.053069964467155e-06, 0.0, -7.965887505179126e-08, -0.010952536156198516, 0.21783899623480837, 0.41005713421007234, 1762985120216161519, 
0.0036766272969543934, -0.00022846178035251796, -0.0302265206884636, 0.047926630126411296, -0.4244253933429718, -0.004573468398922992, 0.24009695564693911, 0.37603219062616117, 1762985120326676890, 
0.009297475218772888, -0.0004380095924716443, -0.07850280161302862, 0.053540904471345636, -0.48282891511917114, -0.0054134784611511435, 0.24414955517239537, 0.3061162171433021, 1762985120422203821, 
0.026205385103821754, -0.002318599494174123, -0.1797586508710775, 0.08941488435690785, -0.43421313166618347, 0.0008713499345360909, 0.24576680016461766, 0.24090848432203862, 1762985120616096392, 
0.03588708117604256, -0.0039278240874409676, -0.2330244768608945, 0.0892472042413056, -0.5032514333724976, 0.018079516879729546, 0.2456577030499688, 0.1755974154612925, 1762985120726198505, 
